RowVsCol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471
2,0.333333333,0.5,0.6,0.666666667,0.714285714,0.75,0.777777778,0.8,0.818181818,0.833333333,0.846153846,0.857142857,0.866666667,0.875,0.882352941,0.888888889
3,0.25,0.4,0.5,0.571428571,0.625,0.666666667,0.7,0.727272727,0.75,0.769230769,0.785714286,0.8,0.8125,0.823529412,0.833333333,0.842105263
4,0.2,0.333333333,0.428571429,0.5,0.555555556,0.6,0.636363636,0.666666667,0.692307692,0.714285714,0.733333333,0.75,0.764705882,0.777777778,0.789473684,0.8
5,0.166666667,0.285714286,0.375,0.444444444,0.5,0.545454545,0.583333333,0.615384615,0.642857143,0.666666667,0.6875,0.705882353,0.722222222,0.736842105,0.75,0.761904762
6,0.142857143,0.25,0.333333333,0.4,0.454545455,0.5,0.538461538,0.571428571,0.6,0.625,0.647058824,0.666666667,0.684210526,0.7,0.714285714,0.727272727
7,0.125,0.222222222,0.3,0.363636364,0.416666667,0.461538462,0.5,0.533333333,0.5625,0.588235294,0.611111111,0.631578947,0.65,0.666666667,0.681818182,0.695652174
8,0.111111111,0.2,0.272727273,0.333333333,0.384615385,0.428571429,0.466666667,0.5,0.529411765,0.555555556,0.578947368,0.6,0.619047619,0.636363636,0.652173913,0.666666667
9,0.1,0.181818182,0.25,0.307692308,0.357142857,0.4,0.4375,0.470588235,0.5,0.526315789,0.55,0.571428571,0.590909091,0.608695652,0.625,0.64
10,0.090909091,0.166666667,0.230769231,0.285714286,0.333333333,0.375,0.411764706,0.444444444,0.473684211,0.5,0.523809524,0.545454545,0.565217391,0.583333333,0.6,0.615384615
11,0.083333333,0.153846154,0.214285714,0.266666667,0.3125,0.352941176,0.388888889,0.421052632,0.45,0.476190476,0.5,0.52173913,0.541666667,0.56,0.576923077,0.592592593
12,0.076923077,0.142857143,0.2,0.25,0.294117647,0.333333333,0.368421053,0.4,0.428571429,0.454545455,0.47826087,0.5,0.52,0.538461538,0.555555556,0.571428571
13,0.071428571,0.133333333,0.1875,0.235294118,0.277777778,0.315789474,0.35,0.380952381,0.409090909,0.434782609,0.458333333,0.48,0.5,0.518518519,0.535714286,0.551724138
14,0.066666667,0.125,0.176470588,0.222222222,0.263157895,0.3,0.333333333,0.363636364,0.391304348,0.416666667,0.44,0.461538462,0.481481481,0.5,0.517241379,0.533333333
15,0.0625,0.117647059,0.166666667,0.210526316,0.25,0.285714286,0.318181818,0.347826087,0.375,0.4,0.423076923,0.444444444,0.464285714,0.482758621,0.5,0.516129032
16,0.058823529,0.111111111,0.157894737,0.2,0.238095238,0.272727273,0.304347826,0.333333333,0.36,0.384615385,0.407407407,0.428571429,0.448275862,0.466666667,0.483870968,0.5
